Judo, Austria, 2
Judo, Azerbaijan, 1
Judo, Belarus, 1
Judo, Belgium, 2
Judo, Brazil, 3
Judo, China, 8
Judo, Cuba, 6
Judo, East Germany, 1
Judo, France, 12
Judo, Georgia, 3
Judo, Germany, 3
Judo, Greece, 1
Judo, Hungary, 1
Judo, Italy, 3
Judo, Japan, 36
Judo, Mongolia, 1
Judo, Netherlands, 4
Judo, North Korea, 2
Judo, Poland, 3
Judo, Romania, 1
Judo, Russia, 3
Judo, Slovenia, 1
Judo, South Korea, 11
Judo, Soviet Union, 5
Judo, Spain, 3
Judo, Switzerland, 1
Judo, Turkey, 1
Judo, Unified Team, 2
Judo, United States, 1
Judo, West Germany, 1
archery, Australia, 1
archery, China, 1
archery, Finland, 1
archery, France, 1
archery, Italy, 1
archery, South Korea, 8
archery, Soviet Union, 1
archery, Ukraine, 1
archery, United States, 7
athletics, Algeria, 4
athletics, Argentina, 2
athletics, Australia, 18
athletics, Austria, 1
athletics, Bahamas, 3
athletics, Belarus, 4
athletics, Belgium, 3
athletics, Brazil, 4
athletics, Bulgaria, 5
athletics, Burundi, 1
athletics, Cameroon, 2
athletics, Canada, 9
athletics, China, 4
athletics, Croatia, 1
athletics, Cuba, 10
athletics, Czech Republic, 5
athletics, Czechoslovakia, 9
athletics, Dominican Republic, 2
athletics, East Germany, 38
athletics, Ecuador, 1
athletics, Estonia, 2
athletics, Ethiopia, 12
athletics, Finland, 31
athletics, France, 14
athletics, Germany, 16
athletics, Great Britain, 41
athletics, Greece, 6
athletics, Grenada, 1
athletics, Hungary, 10
athletics, Ireland, 4
athletics, Italy, 14
athletics, Jamaica, 14
athletics, Japan, 7
athletics, Kazakhstan, 2
athletics, Kenya, 22
athletics, Lithuania, 3
athletics, Luxembourg, 1
athletics, Mexico, 3
athletics, Morocco, 4
athletics, Mozambique, 1
athletics, Netherlands, 5
athletics, New Zealand, 10
athletics, Nigeria, 1
athletics, Norway, 6
athletics, Panama, 1
athletics, Poland, 22
athletics, Portugal, 3
athletics, Romania, 11
athletics, Russia, 24
athletics, Slovenia, 1
athletics, South Africa, 6
athletics, South Korea, 1
athletics, Soviet Union, 57
athletics, Spain, 2
athletics, Sr., 1
athletics, Sweden, 14
athletics, Syria, 1
athletics, Trinidad and Tobago, 2
athletics, Tunisia, 1
athletics, Turkey, 1
athletics, Uganda, 2
athletics, Ukraine, 2
athletics, Unified Team, 7
athletics, United States, 264
athletics, United Team of Germany, 2
athletics, West Germany, 12
badminton, China, 16
badminton, Denmark, 1
badminton, Indonesia, 6
badminton, South Korea, 6
boxing, Argentina, 2
boxing, Bulgaria, 2
boxing, China, 2
boxing, Cuba, 4
boxing, Czechoslovakia, 1
boxing, East Germany, 1
boxing, France, 2
boxing, Germany, 1
boxing, Great Britain, 2
boxing, Hungary, 1
boxing, Italy, 3
boxing, Kazakhstan, 1
boxing, Mexico, 1
boxing, Netherlands, 1
boxing, Russia, 1
boxing, Soviet Union, 4
boxing, Thailand, 1
boxing, Ukraine, 1
boxing, United States, 4
boxing, Venezuela, 1
canoeing, Bulgaria, 2
canoeing, Canada, 1
canoeing, Czech Republic, 3
canoeing, Czechoslovakia, 1
canoeing, Denmark, 1
canoeing, East Germany, 8
canoeing, Finland, 1
canoeing, France, 4
canoeing, Germany, 11
canoeing, Hungary, 8
canoeing, Italy, 1
canoeing, New Zealand, 1
canoeing, Romania, 1
canoeing, Russia, 1
canoeing, Slovakia, 4
canoeing, Soviet Union, 10
canoeing, Sweden, 3
canoeing, Ukraine, 2
canoeing, West Germany, 1
cycling, Australia, 3
cycling, Belgium, 3
cycling, Colombia, 1
cycling, Czech Republic, 1
cycling, Denmark, 2
cycling, East Germany, 1
cycling, France, 14
cycling, Germany, 3
cycling, Great Britain, 4
cycling, Greece, 1
cycling, Italy, 12
cycling, Kazakhstan, 1
cycling, Latvia, 2
cycling, Netherlands, 8
cycling, Norway, 1
cycling, Russia, 1
cycling, Soviet Union, 5
cycling, Spain, 1
cycling, Sweden, 2
cycling, Switzerland, 1
cycling, United States, 2
diving, Australia, 3
diving, China, 9
diving, Czechoslovakia, 1
diving, Denmark, 1
diving, East Germany, 2
diving, Germany, 1
diving, Italy, 3
diving, Mexico, 1
diving, Russia, 1
diving, Soviet Union, 1
diving, Sweden, 6
diving, United States, 22
equestrian, Australia, 6
equestrian, Austria, 1
equestrian, Belgium, 5
equestrian, Brazil, 1
equestrian, Canada, 2
equestrian, Czechoslovakia, 1
equestrian, France, 13
equestrian, Germany, 35
equestrian, Great Britain, 9
equestrian, Italy, 7
equestrian, Japan, 1
equestrian, Mexico, 2
equestrian, Netherlands, 10
equestrian, New Zealand, 3
equestrian, Poland, 1
equestrian, Soviet Union, 6
equestrian, Spain, 1
equestrian, Sweden, 17
equestrian, Switzerland, 5
equestrian, United States, 11
equestrian, West Germany, 4
gymnastics, Canada, 1
gymnastics, China, 5
gymnastics, Czechoslovakia, 2
gymnastics, Finland, 1
gymnastics, France, 1
gymnastics, Germany, 2
gymnastics, Italy, 4
gymnastics, Japan, 5
gymnastics, Romania, 2
gymnastics, Russia, 3
gymnastics, Soviet Union, 12
gymnastics, Sweden, 1
gymnastics, Switzerland, 1
gymnastics, Ukraine, 2
gymnastics, Unified Team, 2
gymnastics, United States, 7
gymnastics, Yugoslavia, 1
rowling, Argentina, 1
rowling, Australia, 9
rowling, Canada, 2
rowling, Czechoslovakia, 2
rowling, Denmark, 1
rowling, East Germany, 15
rowling, Finland, 3
rowling, France, 4
rowling, Germany, 13
rowling, Great Britain, 20
rowling, Italy, 6
rowling, Netherlands, 3
rowling, New Zealand, 6
rowling, Norway, 3
rowling, Poland, 1
rowling, Romania, 2
rowling, Russia, 1
rowling, Slovenia, 1
rowling, Soviet Union, 11
rowling, Switzerland, 3
rowling, United States, 14
rowling, West Germany, 2
rowling, Yugoslavia, 1
sailing, Australia, 20
sailing, Austria, 6
sailing, Bahamas, 2
sailing, Belgium, 3
sailing, Brazil, 10
sailing, China, 4
sailing, Denmark, 23
sailing, East Germany, 4
sailing, Finland, 4
sailing, France, 21
sailing, Germany, 7
sailing, Great Britain, 40
sailing, Greece, 6
sailing, Hong Kong, 2
sailing, Israel, 2
sailing, Italy, 5
sailing, Mixed team, 2
sailing, Netherlands, 10
sailing, New Zealand, 15
sailing, Norway, 22
sailing, Poland, 2
sailing, Soviet Union, 8
sailing, Spain, 28
sailing, Sweden, 18
sailing, Switzerland, 1
sailing, Ukraine, 2
sailing, United States, 35
sailing, West Germany, 4
shooting, China, 3
shooting, Russia, 1
shooting, Ukraine, 1
shooting, Unified Team, 1
shooting, Yugoslavia, 1
swimming, Arnaud Geyre, 1
swimming, Australasia, 1
swimming, Australia, 27
swimming, Belgium, 1
swimming, Bulgaria, 1
swimming, Canada, 1
swimming, China, 10
swimming, Costa Rica, 1
swimming, Czech Republic, 1
swimming, Denmark, 3
swimming, East Germany, 34
swimming, France, 8
swimming, Germany, 6
swimming, Giuseppe Olmo, 1
swimming, Great Britain, 8
swimming, Greece, 1
swimming, Henry Hansen, 1
swimming, Hungary, 11
swimming, Ireland, 3
swimming, Italy, 7
swimming, Japan, 4
swimming, Kazakhstan, 1
swimming, Latvia, 2
swimming, Lithuania, 1
swimming, L̩on Delathouwer, 1
swimming, Netherlands, 18
swimming, Poland, 1
swimming, Robert Charpentier, 1
swimming, Robert Grondelaers, 1
swimming, Romania, 3
swimming, Russia, 1
swimming, South Africa, 3
swimming, Soviet Union, 5
swimming, Spain, 1
swimming, Sweden, 1
swimming, Switzerland, 1
swimming, Ukraine, 4
swimming, Unified Team, 1
swimming, United States, 95
swimming, Yugoslavia, 1
swimming, Zimbabwe, 2
table tennis, China, 22
table tennis, South Korea, 3
table tennis, Sweden, 1
taekondo, Argentina, 1
taekondo, Australia, 1
taekondo, China, 5
taekondo, Chinese Taipei, 2
taekondo, Cuba, 1
taekondo, Great Britain, 1
taekondo, Greece, 1
taekondo, Iran, 2
taekondo, Italy, 1
taekondo, Mexico, 2
taekondo, Serbia, 1
taekondo, South Korea, 10
taekondo, Spain, 1
taekondo, Turkey, 1
taekondo, United States, 2
tennis, Australia, 1
tennis, Belarus, 1
tennis, Belgium, 1
tennis, Canada, 1
tennis, Chile, 2
tennis, China, 1
tennis, Czechoslovakia, 1
tennis, France, 5
tennis, Germany, 2
tennis, Great Britain, 17
tennis, Russia, 2
tennis, South Africa, 3
tennis, Spain, 1
tennis, Switzerland, 2
tennis, United States, 20
tennis, West Germany, 1
weightlifting, Bulgaria, 1
weightlifting, China, 5
weightlifting, Cuba, 1
weightlifting, Great Britain, 1
weightlifting, Hungary, 1
weightlifting, Iran, 1
weightlifting, North Korea, 1
weightlifting, South Korea, 1
weightlifting, Soviet Union, 3
weightlifting, Turkey, 3
weightlifting, United States, 4
wrestling, Armenia, 1
wrestling, Azerbaijan, 1
wrestling, Bulgaria, 10
wrestling, Canada, 1
wrestling, Cuba, 6
wrestling, Czechoslovakia, 1
wrestling, East Germany, 2
wrestling, Egypt, 2
wrestling, Estonia, 3
wrestling, Finland, 20
wrestling, France, 2
wrestling, Georgia, 1
wrestling, Germany, 4
wrestling, Greece, 1
wrestling, Hungary, 17
wrestling, Iran, 4
wrestling, Italy, 7
wrestling, Japan, 14
wrestling, Kazakhstan, 1
wrestling, North Korea, 2
wrestling, Norway, 2
wrestling, Poland, 5
wrestling, Romania, 6
wrestling, Russia, 12
wrestling, South Korea, 7
wrestling, Soviet Union, 38
wrestling, Sweden, 20
wrestling, Turkey, 13
wrestling, Ukraine, 2
wrestling, Unified Team, 3
wrestling, United States, 11
wrestling, Uzbekistan, 1
wrestling, West Germany, 1
wrestling, Yugoslavia, 3
